id,sender url
nby_1BH2004,http://publications.newberry.org/postcard-sender/index.php?id=nby_1BH2004&p=1
nby_3BH142,http://publications.newberry.org/postcard-sender/index.php?id=nby_3BH142&p=1
nby_2BH524,http://publications.newberry.org/postcard-sender/index.php?id=nby_2BH524&p=1
nby_2BH88,http://publications.newberry.org/postcard-sender/index.php?id=nby_2BH88&p=1
nby_LL11981,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL11981&p=0
nby_LL12077,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL12077&p=0
nby_3B342,http://publications.newberry.org/postcard-sender/index.php?id=nby_3B342&p=1
nby_3BH444,http://publications.newberry.org/postcard-sender/index.php?id=nby_3BH444&p=1
nby_2BH1329,http://publications.newberry.org/postcard-sender/index.php?id=nby_2BH1329&p=1
nby_1BH1804,http://publications.newberry.org/postcard-sender/index.php?id=nby_1BH1804&p=1
nby_LL4165,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL4165&p=0
nby_LL13985,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL13985&p=0
nby_LL11358,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL11358&p=0
nby_5BH44,http://publications.newberry.org/postcard-sender/index.php?id=nby_5BH44&p=1
nby_4BH845,http://publications.newberry.org/postcard-sender/index.php?id=nby_4BH845&p=1
nby_3BH752,http://publications.newberry.org/postcard-sender/index.php?id=nby_3BH752&p=1
nby_1BH17,http://publications.newberry.org/postcard-sender/index.php?id=nby_1BH17&p=1
nby_1B457,http://publications.newberry.org/postcard-sender/index.php?id=nby_1B457&p=1
nby_LL11378,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL11378&p=0
nby_LL13041,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL13041&p=0
nby_RT2093,http://publications.newberry.org/postcard-sender/index.php?id=nby_RT2093&p=1
nby_1BH94,http://publications.newberry.org/postcard-sender/index.php?id=nby_1BH94&p=1
nby_1BH2182,http://publications.newberry.org/postcard-sender/index.php?id=nby_1BH2182&p=1
nby_LL9349,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL9349&p=0
